State,Sex,Age Group,Bachelor's Degree Holders,Science and Engineering,Science and Engineering Related Fields,Business,Education,"Arts, Humanities and Others"
44,1,40,"1,282,957","559,546","81,951","358,703","62,365","220,392"
44,1,65,"552,402","239,490","31,733","147,852","53,419","79,908"
44,2,20,"2,991,987","805,343","378,678","609,216","547,495","651,255"
44,2,25,"1,138,489","370,941","153,207","211,134","130,061","273,146"
44,2,40,"1,382,680","354,498","167,109","342,817","236,652","281,604"
44,2,65,"470,818","79,904","58,362","55,265","180,782","96,505"
45,1,20,"350,277","147,512","22,333","88,563","17,641","74,228"
45,1,25,"128,592","54,557","7,797","31,391","3,778","31,069"
45,1,40,"153,129","63,445","11,031","40,718","6,357","31,578"
45,1,65,"68,556","29,510","3,505","16,454","7,506","11,581"
45,2,20,"314,384","71,878","46,648","39,437","65,359","91,062"
45,2,25,"129,166","33,241","21,768","14,850","17,940","41,367"
45,2,40,"136,435","31,994","19,759","20,094","28,218","36,370"
45,2,65,"48,783","6,643","5,121","4,493","19,201","13,325"
46,1,20,"76,545","36,266","4,200","10,229","5,085","20,765"
46,1,25,"21,681","11,500",868,"3,403",582,"5,328"
46,1,40,"34,085","14,907","2,231","4,828","2,196","9,923"
46,1,65,"20,779","9,859","1,101","1,998","2,307","5,514"
46,2,20,"95,727","29,457","10,764","8,173","17,981","29,352"
46,2,25,"27,359","10,963","2,507","1,994","3,128","8,767"
46,2,40,"44,160","13,628","5,151","5,054","7,325","13,002"
46,2,65,"24,208","4,866","3,106","1,125","7,528","7,583"
47,1,20,"1,095,555","550,114","46,689","225,154","41,877","231,721"
47,1,25,"342,791","175,988","13,703","64,580","7,566","80,954"
47,1,40,"519,063","258,338","23,446","113,573","18,530","105,176"
47,1,65,"233,701","115,788","9,540","47,001","15,781","45,591"
47,2,20,"1,229,515","394,671","138,328","202,232","168,624","325,660"
47,2,25,"423,408","161,831","49,504","61,143","36,043","114,887"
47,2,40,"589,414","184,143","64,693","119,984","70,037","150,557"
47,2,65,"216,693","48,697","24,131","21,105","62,544","60,216"
48,1,20,"959,770","491,889","50,492","172,740","45,766","198,883"
48,1,25,"324,972","179,827","16,172","55,952","6,167","66,854"
48,1,40,"416,310","205,848","21,514","81,431","17,695","89,822"
48,1,65,"218,488","106,214","12,806","35,357","21,904","42,207"
48,2,20,"995,862","332,003","116,013","140,472","142,323","265,051"
48,2,25,"361,523","150,436","36,445","50,327","31,038","93,277"
48,2,40,"437,026","137,532","51,488","75,298","52,191","120,517"
48,2,65,"197,313","44,035","28,080","14,847","59,094","51,257"
49,1,20,"123,071","47,971","8,760","27,417","14,716","24,207"
49,1,25,"35,071","15,361","2,504","6,793","1,953","8,460"
49,1,40,"53,771","20,345","4,463","13,217","5,420","10,326"
49,1,65,"34,229","12,265","1,793","7,407","7,343","5,421"
49,2,20,"146,635","31,138","26,648","20,951","41,184","26,714"
49,2,25,"46,795","12,348","9,896","6,220","8,818","9,513"
49,2,40,"70,196","14,726","12,368","12,691","17,609","12,802"
49,2,65,"29,644","4,064","4,384","2,040","14,757","4,399"
50,1,20,"579,921","246,334","37,759","135,142","48,232","112,454"
50,1,25,"179,441","80,561","9,130","42,710","8,046","38,994"
50,1,40,"267,079","109,918","18,683","65,988","21,828","50,662"
